Objektnummer;Navn;UTMSone;UTMEast;UTMNorth
683;Nedre Espedalen massetak;33;-4508;6561214
684;Leite steinbrot;33;69909;6961142
686;Indre Harøy;33;91428;6997717
689;Solberg steinbrudd;33;254003;6985601
693;Asbøll grustak;33;236326;7017181
694;Gjølme pukkverk;33;240198;7029958
695;Nedre Forset;33;270858;7026286
703;Tjøstheim steinbrudd;33;-17842;6580574
704;Myklevika;33;451618;7560711
707;Førnes steinbrudd;33;449516;7346015
709;Vestre Dale;33;128128;6506890
710;Mårvik masseuttak;33;152582;6666629
714;Skofteland;33;49654;6465462
715;Nordre Kalberg massetak;33;-33276;6554223
716;Flatnes steinbrot;33;58467;6928018
717;Rogne massetak;33;187528;6785856
718;Klinga steintak;33;330488;7145843
722;Forset Øvre grustak & steinbrudd;33;270554;7026519
724;Skammestein fjelltak;33;177174;6799676
726;Namstad steinbrudd;33;409455;7198060
728;Standal;33;55234;6932543
730;Hovemoen grustak;33;252995;6786647
732;Stokkan grustak - gbnr. 72/1;33;262293;7016106
733;Fjerdingsbekkhaugen;33;172250;6749023
734;Grossmyra området;33;42244;6925654
736;Hartevatn industriområde - sørenden Hartevann;33;68898;6623441
740;Steinbrot Lie;33;87385;6826062
741;Maurset massetak;33;202652;6772505
742;Gravråk;33;261525;7022069
747;Huken pukk- og asfaltverk;33;269770;6655488
748;Hellestad Sandtak;33;165297;6603143
751;Hasle pukkverk;33;281495;6580457
752;Grasmo masseuttak;33;340780;6661222
755;Strendene steinbrudd;33;393210;7322470
757;Hanasand industriområde del I og II;33;-27759;6590049
759;Rudsbygd steinbrudd;33;249055;6791782
760;Sevatdalen grustak, Øya gbnr. 50/1;33;320326;6936923
762;Galsomælen grustak;33;735213;7750087
764;Mobakken grustak;33;232223;6999839
765;Nilshaugstranda Hemsil 1 Langeset;33;154813;6758628
768;Gunnildberget steinuttak;33;365790;7150032
770;Skurve - Gjesdal næringspark;33;-24145;6547077
775;Foss-Vatne massetak;33;-27499;6558596
779;Skriverøya steinbrudd;33;294271;6552219
780;Brekke stenbrudd;33;297484;6545784
781;Skutvikåsen, Vold;33;189540;6566466
782;Sarpsborg  Pukkverk;33;279109;6572537
783;Råde pukkverk;33;270031;6586691
787;Dal pukkverk;33;287996;6685728
790;Leirbakkelva massetak;33;430078;7156139
792;Rugsland;33;100529;6482269
793;Ulvedalen fjelltak;33;178221;6797633
795;Brynsåsen;33;298685;6744406
796;Strand steinbrudd;33;299596;6800355
798;Buin;33;180064;6701020
799;Kvisberglia - Steinbakken masseuttak;33;219786;6812340
802;Skaret massetak;33;181898;6717283
803;Knibe;33;70311;6462310
805;Tusten steinbrudd;33;105844;6982879
806;Østenstad;33;21686;6846126
807;Tjyvdalen / Domafjellet massetak;33;743539;7737655
808;Ydalir;33;314253;6755581
810;Massetak Ny Jord;33;85925;6989179
812;Slettmo masseuttak;33;203805;6863071
815;Mørkvollen massetak;33;167802;6695374
820;Rekefjord Vest;33;-11394;6498721
821;Stormoen øst;33;668457;7682066
823;Nausthaugen / Fautgården massetak;33;311428;7129957
824;Lykkja Sandtak;33;166675;6807061
825;Knaben Molybden;33;40851;6529367
828;Hals steinuttak;33;330689;7156921
829;Hverven Pukkverk;33;290818;6589578
831;Åssetra masseuttak;33;227308;6779762
834;Bolle;33;442421;7561679
836;Gangenes steinbrudd;33;-27871;6585632
837;Tronsjø grustak;33;279815;6904417
839;Kabberud grustak;33;337090;6673527
842;Andenes masseuttak (Vereidet);33;33338;6886304
843;Gjuvesæter masseuttak;33;202986;6752185
848;Andershågen;33;501563;7520694
849;Garrajokmoen massetak;33;814685;7767246
850;Østerhus massetak;33;13315;6607946
853;Barntjernmoen - gbnr 176/2;33;287987;6677481
855;Tømten fjelltak;33;268541;6761218
858;Masseuttak ved Strandavatnet (Vassenden);33;-11035;6837183
859;Gjermundnes masseuttak;33;99776;6967616
860;Duggurdshaugen;33;304611;7017571
861;Kjærstad massetak (Mosjøen flyplass);33;417995;7297274
863;Røe fjelltak, U26;33;181990;6786161
864;Oksfjorddalen grustak;33;746304;7760709
865;Senum;33;82382;6525053
868;Brattåsen massetak;33;499275;7604435
869;Opland Søndre;33;258541;7037580
872;Grasbott skiferbrudd;33;170693;6608930
873;Svingen pukkverk;33;287092;6560333
874;Vestre Spone;33;215130;6656358
881;Tomma steinbrudd;33;403546;7347524
882;Svarstad - Stryn pukk;33;60744;6890875
883;Ålmomoan grustak;33;381799;7128683
884;Dalen grus;33;257700;6799293
885;Freste pukkverk;33;234913;6584197
886;Åmland skiferbrudd - Ronny Olsen;33;101826;6466067
888;Holtamoan;33;192097;6999254
891;Ruskåsen;33;303741;6983967
892;Søndre Kalberg massetak;33;-33409;6553814
893;Strypadn masseuttak;33;195000;6794713
895;Sørli;33;293669;6732531
902;Hovden massetak;33;67105;6627180
906;Haavemoen massetak (Haave massetak);33;175986;6623404
907;Dalen massetak;33;-9161;6578927
908;Øverhagen / Hjelset;33;116837;6983643
912;Flatmoen grustak;33;146825;6876911
914;Knottbakkan;33;306235;7044762
915;Tandeskogen fjelltak;33;269130;6761747
920;Hembre masseuttak;33;306940;7042364
921;Bortstu Hornset grustak;33;296023;6857064
922;Søndre Storsjøen grustak;33;307298;6813796
924;Hovdefossen massetak;33;247403;6804242
925;Mysusmørbakken massetak (Jora grustak);33;192771;6898744
926;Kildalen grustak;33;734919;7744577
930;Kvennmyra steintak;33;433742;7149696
933;Skårild;33;219659;7036508
934;Bortstu Hornset torvuttak;33;296065;6858915
937;Sætergård;33;228584;7036111
938;Birkeland steinbrudd-Rotatjørna;33;-45855;6637577
939;Børkhågålia fjelltak;33;234469;6797976
940;Rudshøgda massetak;33;270346;6761560
944;Bruraholen massetak;33;-19181;6550423
948;Hæknemoen massetak;33;69947;6611111
949;Tukudalen massetak;33;203697;6669962
950;Vie sandtak;33;16379;6846121
951;Løset masseuttak (93/1);33;33604;6905488
952;Storlia masseuttak;33;155515;6998443
954;Samfjorden massetak;33;61806;6965940
956;Lida massetak;33;64824;6892838
962;Kjeldalen massetak;33;159579;6587606
964;Drevland massetak;33;414182;7314937
965;Enebo grustak;33;150707;6918207
968;Kippen steinbrudd -gbnr 9/12;33;177837;6672518
972;Spulsåsen;33;329562;6729466
976;Gjeslia steinbrudd;33;309287;6784997
977;Vetlehajen massetak (gbnr 14/1);33;80568;6774123
978;Skøyen og Rustad leiruttak;33;285993;6632717
981;Solligruva;33;644059;7674931
983;Goasholt steinbrudd - Tinne brudd;33;180057;6618257
986;Hoensmarka;33;213264;6638943
987;Tingberg Industriområde;33;253842;6800199
989;Glamsland sandtak;33;108260;6476136
990;Stenset grustak;33;209917;6640828
991;Krillåsen (Øvre Hoen grustak);33;212918;6637735
992;Filtvet;33;251829;6613676
993;Storsand;33;252153;6621548
994;Åros;33;245193;6626893
995;Kapstad  masseuttak;33;76;6840988
996;Øyer grustak ( Rabben );33;253320;6800997
998;Opofte steinbrudd;33;22411;6484462
1000;Storeidøya;33;440182;7557913
1004;Mosseporten pukkverk;33;256763;6596636
1007;Vister grustak;33;274444;6579628
1008;Borge pukkverk (også kalt Lindalen pukkverk);33;274696;6572847
1013;Brekka;33;310355;6579544
1015;Fladeby;33;311381;6568383
1023;Nordre Bøen;33;310565;6581108
1026;Fløvik grustak;33;310572;6589835
1027;Gjøngerud;33;310627;6590126
1030;Holo (Holaug pukkverk);33;307526;6603076
1040;Laugslet - Mona;33;292055;6609940
1043;Stikla;33;294202;6627305
1044;Skåruddalen steinuttak;33;278612;6610305
1050;Langebrekke grustak;33;292521;6609665
1051;Moen 508;33;303537;6607195
1055;Torkelsrud;33;285238;6607911
1063;Lundsbakken;33;292435;6584150
1067;Svarvermoen;33;290064;6583388
1071;Rygge Pukkverk;33;261233;6590570
1077;Armoen;33;297910;6653854
1078;Fet pukkverk (Gansdalen);33;289928;6644509
1083;Heier;33;284203;6628161
1091;Grefsrud;33;287796;6677592
1093;Hovinmoen;33;287228;6677166
1094;Ragje massetak - vest;33;-13739;6556133
1095;Vilberg - gbnr 177/2, 177/12, 177/30;33;286881;6678663
1096;Vilberg massetak (152/22, 177/5, 152/2);33;286596;6677564
1098;Vilbergveien;33;287016;6677208
1105;Herstua grustak;33;282727;6685760
1110;Oslo;33;272300;6655574
1114;Steinøye;33;153762;6866727
1115;Gropa massetak -Grorli;33;337240;6671025
1116;Karterud massetak (tidl. Høgemoen);33;353668;6660886
1122;Sagli;33;339567;6677729
1124;Siva - Kongsvinger;33;330769;6678019
1128;St.Olav;33;291961;6763606
1135;Elvestugua;33;286557;6771912
1136;Gammelskolla;33;275845;6797275
1137;Høyby massetak;33;283062;6761526
1139;Kittilåa;33;285122;6781947
1140;Kvitsand på Brøttum;33;256819;6774802
1142;Olshølen A;33;281607;6785804
1147;Steinbekken;33;281353;6773273
1152;Øvre Åstbru;33;275503;6796530
1153;Gryllingsætra;33;299980;6759727
1157;Granerud industriområde;33;311240;6702153
1169;Hesbøl;33;339416;6655192
1171;Ljøner;33;326556;6650459
1183;Velta (Flisbrua/Fløyta);33;351151;6726831
1186;Haugerberget;33;333765;6718844
1187;Salberget - Halvorsholtet;33;341355;6717713
1189;Gjerdrum fjelltak (Sletta);33;325200;6733473
1192;Hagen grustak;33;315195;6748765
1194;Engemoen;33;359589;6789648
1197;Sagnfossen/Sagnmoen;33;362869;6783162
1199;Tangådal grustak;33;382417;6805463
1216;Bjøråneset grustak;33;283170;6844718
1219;Enden grustak;33;248591;6859712
1231;Spjotsodd grustak;33;132252;6598624
1232;Rustdalen grustak;33;200898;6870561
1238;Svartmoegga grustak;33;293697;6873311
1239;Holmbuåsen;33;284315;6864689
1242;Hanestad fjelltak;33;281234;6856896
1243;Engerdalsveien;33;319643;6853498
1247;Otnes;33;297086;6852788
1248;Rådelsbekken. Forekomst 47;33;301211;6842019
1249;Sommerbrekka;33;288867;6878713
1250;Nedre Misteregga;33;301229;6846934
1251;Åkrestrømmen grustak;33;300487;6846506
1253;Seljås steinbrudd;33;126304;6536615
1256;Fonnåkroken massetak;33;341005;6841997
1261;Snerta nord;33;326428;6845120
1262;Ulvåmoen massetak;33;327456;6860280
1275;Kåsdalen;33;286768;6918919
1277;Brekka grustak;33;279733;6908351
1280;Geitryggen - Brødr. Harsjøen;33;279141;6908156
1286;Teldalen grustak;33;289032;6917998
1292;Kjølldalen-Brennbakkmoen-gbnr. 18/3;33;266747;6892267
1295;Slettmoan. Forekmst 7;33;269438;6895419
1301;Grimsbu grustak;33;249709;6900523
1304;Grimsmoen grustak;33;243617;6896480
1307;Moskardet fjelltak;33;254664;6905533
1320;S for Vingrom;33;253549;6775952
1321;Skikstad nedre;33;253984;6786255
1332;Ilka;33;199011;6882415
1333;Lie Grustak;33;192637;6894883
1334;Krekarbakken massetak - tidl. Rotvold;33;193514;6893438
1336;Sjåheimberget;33;146094;6922054
1340;Dalsiden, Sletthella;33;177160;6918992
1344;Kårbøseter;33;183265;6900482
1356;Framruste;33;126791;6888661
1358;Kjæstad grustak;33;142367;6882281
1371;Seberg, Gaupen;33;270818;6758413
1378;Tolstadmoen;33;201451;6865148
1379;Veomoen;33;183409;6849371
1390;Pillarguri skifer (pillarguri, skardet og lia);33;210141;6858562
1392;Åmotrønningen Vest (Hestmåna) (Åmodtmoen Sjoa);33;209088;6851405
1398;Kaurstad grustak;33;239080;6833220
1400;Mysmøregga;33;266001;6847602
1405;Svangen (Rollstulen skiferbrudd - Ytre Rollstulen);33;251862;6818503
1407;Akselsjøsætra;33;265823;6808317
1420;Smeligruva;33;232514;6802241
1434;Buhammer;33;252193;6697553
1438;Lygna Pukkverk (Kortungen);33;258875;6709110
1442;Tjernsrud grustak;33;240076;6718937
1458;Åmodttippen;33;232632;6772111
1460;Hesjebakken fjelltak;33;213323;6738740
1478;Ryggeberget steintak;33;206608;6778926
1486;Kalplassen-Nordaker;33;192882;6770808
1489;Tyrisholt;33;173910;6766368
1500;Kinnholt;33;171606;6772084
1504;Liastølane;33;168874;6788924
1509;Ryfoss Lomen ind.omr.;33;167541;6793541
1513;Ulven fjelltak (Hølli);33;177798;6782494
1514;Vikaeggen (Vikrudstølen V ,Vikastølen);33;174016;6785173
